Identifier,Value,Part Number,Description,Qty per Float
"B1, B2","GPS Backup, RTC Backup",952-1662-1-ND,Lithium Battery Clip,2
C1,11pF,399-8787-1-ND,Capacitor,1
"C2,C3,C5,C6,C7,C9,C10,C11,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C27,C28,C29",0.1 uF,399-5089-1-ND,Capacitor,21
"C4,C8",4.7 uF,587-3416-1-ND,Capacitor,2
"C18,C26",10 uF,311-1376-1-ND,Capacitor,2
C19,3.3 uF,399-10443-1-ND,"Capacitor, Polarized Tantalum",1
"C20,C21",1 uF,587-3413-1-ND,Capacitor,2
D1,MBR0540,MBR0540TPMSCT-ND,"20V, 500mA",1
"D2, D3",BAT46JFILM,497-6653-1-ND,DIODE SCHOTTKY 100V 150MA SOD323,2
"JP1, JP3, JP4, JP6","PAR Connector, SST Connector, Thermistor Connector, Batt Connector",WM10658-ND,1x2 Micro-fit 3.0 Header,4
JP2,PRESSURE Connector,WM10669-ND,1x4 Micro-fit 3.0 Header,1
JP5,SMA,A97594-ND,CONN SMA JACK STR 50 OHM PCB,1
JP7,FLUOR,WM10679-ND,2x3 Micro-fit 3.0 Header,1
JP8,RockBlock9603,WM7614CT-ND,1x10 PicoBlade Header,1
JP9,UCAM-III,WM1920-ND,1x5 Micro-fit 3.0 Header,2
"Q1, Q2",BSS138,BSS138-FDICT-ND,N-Channel Mosfet,2
"Q3,Q4,Q5,Q6,Q7,Q8",AO3407A,785-1006-1-ND,P-Channel Mosfet,6
R1,"137k, 0.1%",P137KDBDKR-ND,Resistor,1
R2,"10k, 0.1%",P10KDBCT-ND,Resistor,1
R3,"2k, 0.1%",P2.0KDBCT-ND,Resistor,1
R4,"200K, 1%",311-200KFRCT-ND,Resistor,1
"R5,R7,R9,R11","3.74k, 1%",RMCF0603FT3K74CT-ND,Resistor,4
R6,"324K, 0.1%",P324KBCCT-ND,Resistor,1
"R8,R10,R26,R28",10k,MCT0603-10.0K-CFCT-ND,Resistor,4
R12,"50k,0.01%",Y1627-50KCT-ND,"Resistor, 0.01%, 0.2PPM",1
"R13,R14,R15,R17,R18,R21,R23,R25,R27,R30,R32",1k,P1.00KHCT-ND,Resistor,11
"R16,R19,R20,R22,R24,R31",100k,P100KHCT-ND,Resistor,6
R29,"6.98k, 1%",541-6.98HHCT-ND,Resistor,1
"SHTDN, ALARM,  MOSI3v3, MISO3v3, SCK3v3, MOSI5v, MISO5v, SCK5v, SDA3V3, SCL3V3, SDA5V, SCL5V, VPAR",TP-040,36-5004-ND,"Test Point, Yellow",13
"GND1,GND2,GND3",TP-040,36-5001-ND,"Test Point, Black",3
"VBATT,+5V,+3V3, +3VP*,+3VT*",TP-040,36-5000-ND,"Test Point, Red",5
"U1,U4",MAX6126,MAX6126AASA30+-ND,"3V, 0.02% Precision Voltage Regulator",2
U2,ADS1100-A1,296-14298-1-ND,Self-Calibrating 16 Bit ADC - Address A1,1
U3,OPA320,296-29510-1-ND,Operational Amplifier,1
U6,ADS1100-A0,296-12966-1-ND,Self-Calibrating 16 Bit ADC - Address A0,1
U7,ADG836,ADG836LYRMZ-ND,SPDT Switch,1
"U5,U8",NL17SZ07DFT2G,NL17SZ07DFT2GOSCT-ND,Single Non-Inverting Buffer ,2
U9,FGPMMOPA6H,https://www.adafruit.com/products/790,GPS Module - MTK MT3339 Chipset,1
U10,SN74LVC1G32DCKR,296-9848-1-ND,Single OR Gate,1
U11,MAX4624EUT,MAX4624EUT+TCT-ND,IC SWITCH SPDT SOT23-6,1
U14,M74VHC1GT125,M74VHC1GT125DF1GOSCT-ND,Noninverting Buffer / CMOS Logic Level Shifter,1
U15,M74HC4050,296-14529-1-ND,HEX BUFFER/CONVERTER,1
U16,SDCard Socket,3M5607CT-ND,microSD Socket,1
U17,ADXL345,ADXL345BCCZ-ND,"3-Axis, Digital Accelerometer",1
U18,LP5907,296-38557-1-ND,250-mA LOW-DROPOUT LINEAR REGULATOR,1
U19,Inverter,NC7S14M5XCT-ND,SINGLE SCHMITT-TRIGGER INVERTER,1
U20,DS3234,DS3234SN#T&RCT-ND,SPI RTC module ,1
U21,LT1129,LT1129IQ-5#PBF-ND,5V Voltage Regulator,1
U22,LT1013,296-12982-1-ND,1 MHz Op Amp,1
U23,LT1634,LT1634BIS8-1.25#PBF-ND,1.25V Shunt Regulator,1
U24,ADS1100-A2,296-14299-1-ND,Self-Calibrating 16 Bit ADC - Address A2,1
U25,TS5A21366DCUR,296-24304-1-ND,IC SWITCH DUAL SPST US8,1
U26,TXB0106PWR,296-23759-1-ND,IC 6BIT NON-INV TRANSLTR 16TSSOP,1
HF3,2x3,S7106-ND,"2x3 female header, unshrouded",1
"HM1,HM2,HM3,HM4,HM5,HM6,HM7",1x8,952-2271-ND,"1x8 male header, unshrouded",7
"HM8,HM9,HM10",1x10,952-1843-ND ,"1x10 male header, unshrouded",3
